label,n_before,n_deduped,n_after,div_before,div_after,kept_pct
ovos-skill-parrot.openvoiceos:stop_parrot.intent,267,225,25,0.9648,1.0,9.4
ovos-skill-date-time.openvoiceos:what.day.is.it.intent,265,260,25,0.9447,0.9893,9.4
ovos-skill-laugh.openvoiceos:Laugh.intent,256,255,25,0.9834,1.0,9.8
ovos-skill-diagnostics.openvoiceos:query_ovos_location.intent,242,237,25,0.8999,0.9947,10.3
ovos-skill-weather.openvoiceos:humidity.intent,242,242,25,0.9601,0.9973,10.3
ovos-skill-alerts.openvoiceos:CreateOcpAlarm,233,231,25,0.9386,0.9677,10.7
ovos-skill-personal.openvoiceos:WhatAreYou.intent,225,221,25,0.972,0.9962,11.1
ovos-skill-diagnostics.openvoiceos:query_extra_langs.intent,216,211,25,0.9041,0.9796,11.6
ovos-skill-personal.openvoiceos:WhenWereYouBorn.intent,211,211,25,0.9709,0.9969,11.8
ovos-skill-moviemaster.openvoiceos:movie.popular.intent,208,206,25,0.932,0.9682,12.0
ovos-skill-personal.openvoiceos:WhereWereYouBorn.intent,207,207,25,0.9703,0.9926,12.1
ovos-skill-ddg.openvoiceos:search_duck.intent,200,158,25,0.8256,0.9172,12.5
ovos-skill-moviemaster.openvoiceos:movie.runtime.intent,199,199,25,0.8341,0.9124,12.6
ovos-skill-diagnostics.openvoiceos:query_user_lang.intent,183,177,25,0.9136,0.966,13.7
ovos-skill-volume.openvoiceos:volume.default.intent,171,168,25,0.8987,0.9632,14.6
ovos-skill-weather.openvoiceos:next_rain.intent,170,170,25,0.9608,0.9816,14.7
ovos-skill-laugh.openvoiceos:RandomLaugh.intent,168,168,25,0.9813,1.0,14.9
ovos-skill-parrot.openvoiceos:start_parrot.intent,166,162,25,0.9694,0.9966,15.1
ovos-skill-wordnet.openvoiceos:hypernym.intent,164,164,25,0.7404,0.8888,15.2
ovos-skill-date-time.openvoiceos:what.year.is.it.intent,162,162,25,0.9676,0.9891,15.4
ovos-skill-moviemaster.openvoiceos:movie.year.intent,159,153,25,0.8497,0.9243,15.7
ovos-skill-icanhazdadjokes.openvoiceos:search_joke.intent,143,143,25,0.8303,0.9023,17.5
ovos-skill-parrot.openvoiceos:repeat.stt.intent,139,139,25,0.9571,0.978,18.0
ovos-skill-parrot.openvoiceos:did.you.hear.me.intent,134,134,25,0.9828,1.0,18.7
ovos-skill-diagnostics.openvoiceos:query_memory_usage.intent,132,125,25,0.9411,0.9886,18.9
ovos-skill-personal.openvoiceos:WhoAreYou.intent,130,130,25,0.9862,1.0,19.2
ovos-skill-diagnostics.openvoiceos:query_user_location.intent,129,124,25,0.8164,0.9779,19.4
ovos-skill-diagnostics.openvoiceos:query_cpu_usage.intent,126,110,25,0.8928,0.95,19.8
ovos-skill-alerts.openvoiceos:TimerStatus,119,119,25,0.9465,0.9769,21.0
ovos-skill-moviemaster.openvoiceos:genre.movie.search.intent,114,111,25,0.8288,0.8515,21.9
ovos-skill-volume.openvoiceos:volume.max.intent,113,110,25,0.8796,0.947,22.1
ovos-skill-wordnet.openvoiceos:search_wordnet.intent,111,105,25,0.8498,0.8727,22.5
ovos-skill-volume.openvoiceos:volume.unmute.intent,108,105,25,0.915,0.9901,23.1
ovos-skill-alerts.openvoiceos:ListAlerts,102,101,25,0.9824,0.9956,24.5
ovos-skill-volume.openvoiceos:volume.high.intent,101,94,25,0.8963,0.9559,24.8
ovos-skill-volume.openvoiceos:volume.low.intent,98,92,25,0.9237,0.9784,25.5
ovos-skill-alerts.openvoiceos:CreateAlarm,96,96,25,0.9349,0.963,26.0
ovos-skill-date-time.openvoiceos:handle_day_for_date,95,93,25,0.9354,0.9642,26.3
ovos-skill-volume.openvoiceos:volume.mute.intent,91,85,25,0.9377,0.9947,27.5
ovos-skill-wordnet.openvoiceos:antonym.intent,85,85,25,0.7578,0.8468,29.4
ovos-skill-volume.openvoiceos:increase_volume,85,84,25,0.9747,0.9951,29.4
ovos-skill-wordnet.openvoiceos:holonym.intent,82,82,25,0.7538,0.8408,30.5
ovos-skill-moviemaster.openvoiceos:movie.genre.search.intent,80,76,25,0.8366,0.8468,31.2
